source_id,source_url,name,price,compare_at_price,categories,image_url,concentration,form,storage_requirements
peptide:4d2dd326b96968e66b3d108b46bb0848,https://www.corepeptides.com/peptides/ipamorelin-5mg/,Ipamorelin – 5MG,43.00,46.00,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2020/04/Ipamorelin-5MG-265x265.jpg,5MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:b255438b3faf0d6926316aee56f7ef77,https://www.corepeptides.com/peptides/kisspeptin-10mg/,Kisspeptin-10 – 10MG,63.00,,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2021/10/Kisspeptin-10-10MG-265x265.jpg,10MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:313919b865bb2a04da9006ccebe51cde,https://www.corepeptides.com/peptides/klow-blend-80mg/,"KLOW (BPC-157, KPV, TB-500, GHK-Cu) Blend – 80MG",160.00,,Blends|Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2026/07/KLOW-BPC-157-KPV-TB-500-GHK-Cu-Blend-80mg-265x265.png,80MG,Lyophilized blend,Store according to the supplier documentation. Research use only.
peptide:8e659a4c50c7c35eb40fc9895c54bce5,https://www.corepeptides.com/peptides/kpv-4mg/,KPV – 4MG,38.00,45.00,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2022/01/KPV-4mg-265x265.jpg,4MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:e5aa4e321c61af040d423045785d0a21,https://www.corepeptides.com/peptides/lipopeptide-topical-200mg/,Lipopeptide – 200MG,214.00,,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2023/12/LIPOPETIDE-200MG-265x265.jpg,200MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:6ee7d08bf9dfaafef4389b68b765ad09,https://www.corepeptides.com/peptides/livagen-20mg/,Livagen – 20MG,73.00,,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2022/11/Livagen-20MG-265x265.jpg,20MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:ae6e624d4840c3be9cd93bc901610bd1,https://www.corepeptides.com/peptides/ll-37-5mg/,LL-37 – 5MG,89.00,,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2020/04/LL-37-5mg-265x265.webp,5MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:06413e2e43b7cd8d72608f04f46fffa8,https://www.corepeptides.com/peptides/matrixyl-topical-200mg/,Matrixyl – 200MG,171.00,,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2023/03/Matrixyl-200mg-265x265.jpg,200MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:169fac2109b1ce935a535fb92b15d09e,https://www.corepeptides.com/peptides/melanotan-1-10mg/,Melanotan 1 – 10MG,43.00,,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2020/04/Melanotan-1-10MG-265x265.jpg,10MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:fa6451e1863a930de0cac3c57f3703da,https://www.corepeptides.com/peptides/melanotan-2-10mg/,Melanotan 2 – 10MG,41.00,,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2023/03/Melanotan-2-10MG-265x265.jpg,10MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
